,name,link,rate,location,h_id
43,B Montmartre Hotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d280083-Reviews-B_Montmartre_Hotel-Paris_Ile_de_France.html,"4,5","6 rue Lecluse, 75017 Paris France",187147280083
44,B Montmartre Hotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d280083-Reviews-B_Montmartre_Hotel-Paris_Ile_de_France.html,"4,5","6 rue Lecluse, 75017 Paris France",187147280083
45,"Mandarin Oriental, Paris",https://www.tripadvisor.fr/Hotel_Review-g187147-d2041918-Reviews-Mandarin_Oriental_Paris-Paris_Ile_de_France.html,"5,0","251 Rue Saint-Honoré, 75001 Paris France",1871472041918
46,Hôtel Métropole Genève,https://www.tripadvisor.fr/Hotel_Review-g188057-d234227-Reviews-Hotel_Metropole_Geneve-Geneva.html,"4,5","34 Quai General Guisan Rue du rhône, Genève 1204 Suisse",188057234227
47,Villa Garbo,https://www.tripadvisor.fr/Hotel_Review-g187221-d1061079-Reviews-Villa_Garbo-Cannes_French_Riviera_Cote_d_Azur_Provence_Alpes_Cote_d_Azur.html,"4,5","62 boulevard D Alsace, 06400 Cannes France",1872211061079
48,La Bastide de Boulbon,https://www.tripadvisor.fr/Hotel_Review-g970104-d949989-Reviews-La_Bastide_de_Boulbon-Boulbon_Bouches_du_Rhone_Provence_Alpes_Cote_d_Azur.html,"5,0","Rue de l'Hotel de Ville, 13150 Boulbon France",970104949989
49,B Montmartre Hotel,https://www.tripadvisor.fr/Hotel_Review-g187147-d280083-Reviews-B_Montmartre_Hotel-Paris_Ile_de_France.html,"4,5","6 rue Lecluse, 75017 Paris France",187147280083
50,Hotel Rose Bourbon,https://www.tripadvisor.fr/Hotel_Review-g187147-d13646431-Reviews-Hotel_Rose_Bourbon-Paris_Ile_de_France.html,"4,5","53 rue de l Eglise, 75015 Paris France",18714713646431
51,Hotel Rose Bourbon,https://www.tripadvisor.fr/Hotel_Review-g187147-d13646431-Reviews-Hotel_Rose_Bourbon-Paris_Ile_de_France.html,"4,5","53 rue de l Eglise, 75015 Paris France",18714713646431
52,Travelodge Twickenham,https://www.tripadvisor.fr/Hotel_Review-g528819-d2492627-Reviews-Travelodge_Twickenham-Twickenham_Greater_London_England.html,"4,0","London Road, Twickenham TW1 3QS Angleterre",5288192492627
