,name,rate,title,u_id,h_id
408,Sak13,"4,0",EXCELLENT SEJOUR,6025940823361195436,A CHANGER
409,,"4,0",,6025940823361195436,A CHANGER
410,,"5,0",,6025940823361195436,A CHANGER
411,,"4,0",,6025940823361195436,A CHANGER
412,,"4,0",,6025940823361195436,A CHANGER
413,,"4,0",,6025940823361195436,A CHANGER
414,,"4,0",,6025940823361195436,A CHANGER
415,,"4,0",,6025940823361195436,A CHANGER
416,,"4,0",,6025940823361195436,A CHANGER
417,,"4,0",,6025940823361195436,A CHANGER
418,,"4,0",,6025940823361195436,A CHANGER
419,,"4,0",,6025940823361195436,A CHANGER
420,,"3,0",,6025940823361195436,A CHANGER
421,,"4,0",,6025940823361195436,A CHANGER
422,,"4,0",,6025940823361195436,A CHANGER
423,chistelle71,"5,0",Séjour Paris 13 ème,2444569529578724715,A CHANGER
424,Terry_Steph,"4,0",Excellent établissement ,-3194921254206930994,A CHANGER
425,,"4,0",,-3194921254206930994,A CHANGER
426,,"4,0",,-3194921254206930994,A CHANGER
427,,"5,0",,-3194921254206930994,A CHANGER
428,,"4,0",,-3194921254206930994,A CHANGER
429,,"3,0",,-3194921254206930994,A CHANGER
430,Olivier G,"3,0",Une nuit au Kyriad Gobelins,2828832162560596153,A CHANGER
431,,"3,0",,2828832162560596153,A CHANGER
432,,"4,0",,2828832162560596153,A CHANGER
433,,"4,0",,2828832162560596153,A CHANGER
434,,"4,0",,2828832162560596153,A CHANGER
435,,"4,0",,2828832162560596153,A CHANGER
436,,"4,0",,2828832162560596153,A CHANGER
437,,"4,0",,2828832162560596153,A CHANGER
438,,"5,0",,2828832162560596153,A CHANGER
439,patgabar,"4,0",sejour Paris,-1965699638005872675,A CHANGER
440,Shana Priscilla,"5,0",Hôtel très bon rapport qualité prix ,-8657913095292842694,A CHANGER
441,Kiki130122020,"4,0",SEJOUR AU KYRIAD LES GOBELINS,-6675746076894173677,A CHANGER
442,Chris,"5,0",Weekend à Paris,8655961258425522154,A CHANGER
443,Fil38,"4,0",Très bien!,4175394444293365883,A CHANGER
444,,"4,0",,4175394444293365883,A CHANGER
445,,"4,0",,4175394444293365883,A CHANGER
446,,"5,0",,4175394444293365883,A CHANGER
447,,"4,0",,4175394444293365883,A CHANGER
448,,"4,0",,4175394444293365883,A CHANGER
449,,"3,0",,4175394444293365883,A CHANGER
450,,"4,0",,4175394444293365883,A CHANGER
451,,"4,0",,4175394444293365883,A CHANGER
452,,"5,0",,4175394444293365883,A CHANGER
453,marc7986,"4,0",Séjour ,-575215562102554921,A CHANGER
454,,"4,0",,-575215562102554921,A CHANGER
455,,"3,0",,-575215562102554921,A CHANGER
456,Globetrotting80141,"5,0",Super,-4295905865688911399,A CHANGER
457,Ldef,"5,0",Génial ,-5484865675755941498,A CHANGER
458,,"3,0",,-5484865675755941498,A CHANGER
459,,"5,0",,-5484865675755941498,A CHANGER
460,,"4,0",,-5484865675755941498,A CHANGER
461,EdSeb D,"4,0",hotel très charmant ,7921769096053304982,A CHANGER
462,,"3,0",,7921769096053304982,A CHANGER
463,,"4,0",,7921769096053304982,A CHANGER
464,,"4,0",,7921769096053304982,A CHANGER
465,Frederic v,"2,0",Super déçu,-5611310933204872439,A CHANGER
466,,"2,0",,-5611310933204872439,A CHANGER
467,cmathi442506,"1,0",Très bof,6779219600050313080,A CHANGER
468,zipletaitai,"3,0",Accueil pas au niveau du standing de l'hôtel,-8655967035687868667,A CHANGER
469,,"3,0",,-8655967035687868667,A CHANGER
470,,"4,0",,-8655967035687868667,A CHANGER
471,,"3,0",,-8655967035687868667,A CHANGER
